"Population","ClonalFraction"
"KOD",0.473684210526316
"STE",0.2
"GOT",0
"GRO",0.888888888888889
"HOG",0.333333333333333
"ALA",0.294117647058823
"YST",0.705882352941176
"FUR",0.875
"KAR",0.866666666666667
"KLI",0.705882352941176
"HOR",0.9375
"SLI",0.894736842105263
"KRA",0.888888888888889
"NYN",0.882352941176471
"BJO",0.947368421052632
